Name,ExpressionScript
Caustic Circulation,CIP_17_Caustic_Supply_Valve == true && CIP_17_Return_Temp > 150 && CIP_17_Step == 10
Caustic Circulation,CIP_17_Step != 10
Caustic Heat to Temp,CIP_17_Caustic_Supply_Valve == true && CIP_17_Caustic_Return_Valve == false && CIP_17_Return_Temp < 120 && CIP_17_Step == 10
Caustic Heat to Temp,CIP_17_Caustic_Supply_Valve == false || CIP_17_Return_Temp >= 150 || CIP_17_Step != 10
Chlorine Circulation,CIP_17_Acid_Supply_Valve == true && CIP_17_Acid_Return_Valve == true && CIP_17_Return_Temp > 140 && CIP_17_Step == 14
Chlorine Circulation,CIP_17_Step != 14
Chlorine Heat to Temp,CIP_17_Acid_Supply_Valve == true && CIP_17_Acid_Return_Valve == false && CIP_17_Return_Temp < 125 && CIP_17_Step == 14
Chlorine Heat to Temp,CIP_17_Acid_Supply_Valve == false || CIP_17_Return_Temp >= 140 || CIP_17_Step != 14
Drain,CIP_17_Step == 5 || CIP_17_Step == 13 || CIP_17_Step == 17 || CIP_17_Step == 20
Drain,CIP_17_Step != 5 || CIP_17_Step != 13 || CIP_17_Step != 17 || CIP_17_Step != 20
Fresh Water Rinse,CIP_17_Step == 4 || CIP_17_Step == 12 || CIP_17_Step == 16 && CIP_17_Acid_Return_Valve == false && CIP_17_Caustic_Return_Valve == false
Fresh Water Rinse,CIP_17_Step != 4 || CIP_17_Step != 12 || CIP_17_Step != 16 && CIP_17_Acid_Return_Valve != false && CIP_17_Caustic_Return_Valve != false
Rinse Recovery,CIP_17_Step >= 11 && CIP_17_Step <= 12 && CIP_17_Caustic_Supply_Valve == false && CIP_17_Caustic_Return_Valve == true || CIP_17_Step >= 15 && CIP_17_Step <= 16 && CIP_17_Acid_Supply_Valve == false && CIP_17_Acid_Return_Valve == true
Rinse Recovery,CIP_17_Step <= 11 && CIP_17_Step >= 12 && CIP_17_Caustic_Supply_Valve != false && CIP_17_Caustic_Return_Valve != true || CIP_17_Step <= 15 && CIP_17_Step >= 16 && CIP_17_Acid_Supply_Valve != false && CIP_17_Acid_Return_Valve != true
Sanitize Water,CIP_17_Step == 18 || CIP_17_Step == 19
Sanitize Water,CIP_17_Step != 18 || CIP_17_Step != 19
Sanitizer to Drain,CIP_17_Step == 18
Sanitizer to Drain,CIP_17_Step != 18
Acid Circulation,CIP_18_Acid_Supply_Valve == true && CIP_18_Acid_Return_Valve == true && CIP_18_Supply_Temp >= 145 && CIP_18_Acid_Seq == true
Acid Circulation,CIP_18_Step != 7
Acid Heat to Temp,CIP_18_Acid_Supply_Valve == true && CIP_18_Acid_Return_Valve == true && CIP_18_Supply_Temp < 125 && CIP_18_Acid_Seq == true
Acid Heat to Temp,CIP_18_Acid_Supply_Valve == true && CIP_18_Acid_Return_Valve == true && CIP_18_Supply_Temp < 125 && CIP_18_Acid_Seq == true
Acid Recovery,CIP_18_Step == 8 || CIP_18_Step == 9
Acid Recovery,CIP_18_Step != 8 || CIP_18_Step != 9
Caustic Circulation,CIP_18_Caustic_Supply_Valve == true && CIP_18_Caustic_Return_Valve == true && CIP_18_Supply_Temp >= 145 && CIP_18_Caustic_Seq == true
Caustic Circulation,CIP_18_Step != 3
Caustic Heat to Temp,CIP_18_Caustic_Supply_Valve == true && CIP_18_Caustic_Return_Valve == true && CIP_18_Supply_Temp < 125 && CIP_18_Caustic_Seq == true
Caustic Heat to Temp,CIP_18_Caustic_Supply_Valve == false || CIP_18_Supply_Temp >= 145 || CIP_18_Caustic_Seq == false
Caustic Recovery,CIP_18_Step == 4 || CIP_18_Step == 5 && CIP_18_GW_Supply_Valve == false
Caustic Recovery,CIP_18_Step != 4 || CIP_18_Step != 5 && CIP_18_GW_Supply_Valve != false
Chlorine Addition,CIP_19_Chlorine_Pump == true && CIP_18_Step < 7
Chlorine Addition,CIP_19_Chlorine_Pump != true && CIP_18_Step > 7
Fresh Water Rinse,CIP_18_Step_No >= 1 && CIP_18_Step_No <= 2 && CIP_18_GW_Supply_Valve == false && CIP_18_Fresh_Water_Valve == true || CIP_18_Step_No >= 9 && CIP_18_Step_No <= 12 && CIP_18_GW_Supply_Valve == false && CIP_18_Fresh_Water_Valve == true
Fresh Water Rinse,CIP_18_Step_No <= 1 && CIP_18_Step_No >= 2 && CIP_18_GW_Supply_Valve != false && CIP_18_Fresh_Water_Valve != true || CIP_18_Step_No <= 9 && CIP_18_Step_No >= 12 && CIP_18_GW_Supply_Valve != false && CIP_18_Fresh_Water_Valve != true
Recovered Water Rinse,CIP_18_GW_Supply_Valve == true
Recovered Water Rinse,CIP_18_GW_Supply_Valve != true
Acid Circulation,CIP_20_Acid_Supply_Valve == true && CIP_20_Acid_Return_Valve == true && CIP_20_Supply_Temp >= 145 && CIP_20_Acid_Seq == true
Acid Circulation,CIP_20_Step != 7
Acid Heat to Temp,CIP_20_Acid_Supply_Valve == true && CIP_20_Acid_Return_Valve == true && CIP_20_Supply_Temp < 125 && CIP_20_Acid_Seq == true
Acid Heat to Temp,CIP_20_Acid_Supply_Valve == false || CIP_20_Supply_Temp >= 145 || CIP_20_Acid_Seq == false
Acid Recovery,CIP_20_Step == 8 || CIP_20_Step == 9
Acid Recovery,CIP_20_Step != 8 || CIP_20_Step != 9
Caustic Circulation,CIP_20_Caustic_Supply_Valve == true && CIP_20_Caustic_Return_Valve == true && CIP_20_Supply_Temp >= 145 && CIP_20_Caustic_Seq == true
Caustic Circulation,CIP_20_Step != 3
Caustic Heat to Temp,CIP_20_Caustic_Supply_Valve == true && CIP_20_Caustic_Return_Valve == true && CIP_20_Supply_Temp < 125 && CIP_20_Caustic_Seq == true
Caustic Heat to Temp,CIP_20_Caustic_Supply_Valve == false || CIP_20_Supply_Temp >= 145 || CIP_20_Caustic_Seq == false
Caustic Recovery,CIP_20_Step == 4 || CIP_20_Step == 5 && CIP_20_Supply_Valve == false
Caustic Recovery,CIP_20_Step != 4 || CIP_20_Step != 5 && CIP_20_Supply_Valve != false
Chlorine Addition,CIP_19_Chlorine_Pump == true && CIP_20_Step < 7
Chlorine Addition,CIP_19_Chlorine_Pump == true && CIP_20_Step < 7
Fresh Water Rinse,CIP_20_Step_No >= 1 && CIP_20_Step_No <= 2 && CIP_20_Supply_Valve == false && CIP_20_Fresh_Water_Valve == true || CIP_20_Step_No >= 5 && CIP_20_Step_No <= 6 && CIP_20_Supply_Valve == false && CIP_20_Fresh_Water_Valve == true || CIP_20_Step_No >= 9 && CIP_20_Step_No <= 12 && CIP_20_Supply_Valve == false && CIP_20_Fresh_Water_Valve == true
Fresh Water Rinse,CIP_20_Step_No <= 1 && CIP_20_Step_No >= 2 && CIP_20_Supply_Valve != false && CIP_20_Fresh_Water_Valve != true || CIP_20_Step_No <= 5 && CIP_20_Step_No >= 6 && CIP_20_Supply_Valve != false && CIP_20_Fresh_Water_Valve != true || CIP_20_Step_No <= 9 && CIP_20_Step_No >= 12 && CIP_20_Supply_Valve != false && CIP_20_Fresh_Water_Valve != true
Recovered Water Rinse,CIP_20_Supply_Valve == true
Recovered Water Rinse,CIP_20_Supply_Valve != true
Acid Addition/Heat to Temp,CIP_21_Acid_Tank_Supply_Valve == true && CIP_21_Acid_Tank_Return_Valve == 0 && CIP_21_Step == 1
Acid Addition/Heat to Temp,CIP_21_Acid_Tank_Supply_Valve == true && CIP_21_Acid_Tank_Return_Valve == true && CIP_21_Return_Temperature > 120 || CIP_21_Acid_Tank_Supply_Valve == false && CIP_21_Acid_Tank_Return_Valve == false
Acid Circulation,CIP_21_Acid_Tank_Supply_Valve == true && CIP_21_Acid_Tank_Return_Valve == true && CIP_21_Return_Temperature > 120
Acid Circulation,CIP_21_Acid_Tank_Return_Valve == true && CIP_21_Rinse_Tank_Supply_Valve == true || CIP_21_Step != 3 && CIP_21_Step != 1
Acid Recovery,CIP_21_Acid_Tank_Return_Valve == true && CIP_21_Rinse_Tank_Supply_Valve == true
Acid Recovery,CIP_21_Acid_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_21_Caustic_Tank_Supply_Valve == true && CIP_21_Caustic_Tank_Return_Valve == 0 && CIP_21_Step == 7
Caustic Addition/Heat to Temp,CIP_21_Caustic_Tank_Supply_Valve == true && CIP_21_Caustic_Tank_Return_Valve == true && CIP_21_Return_Temperature > 140
Caustic Circulation,CIP_21_Caustic_Tank_Supply_Valve == true && CIP_21_Caustic_Tank_Return_Valve == true && CIP_21_Return_Temperature > 140
Caustic Circulation,CIP_21_Caustic_Tank_Return_Valve == true && CIP_21_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_21_Caustic_Tank_Return_Valve == true && CIP_21_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_21_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_21_Rinse_Tank_Supply_Valve == true && CIP_21_Caustic_Tank_Return_Valve == false && CIP_21_Acid_Tank_Return_Valve == false && CIP_22_Sanitizer_Pump == 0 && CIP_21_Step < 7 || CIP_21_Step == 9 || CIP_21_Step == 13 || CIP_21_Step > 14
Fresh Water Rinse,CIP_21_Step >= 7 && CIP_21_Step <= 14 && CIP_21_Step != 9 && CIP_21_Step != 13
Sanitize Circulation,CIP_22_Sanitizer_Pump == true
Sanitize Circulation,CIP_22_Sanitizer_Pump != true
Sanitize Water,CIP_22_Sanitizer_Pump == true
Sanitize Water,CIP_22_Sanitizer_Pump != true
Acid Addition/Heat to Temp,CIP_23_Acid_Tank_Supply_Valve == true && CIP_23_Acid_Tank_Return_Valve == 0 && CIP_23_Step == 1
Acid Addition/Heat to Temp,CIP_23_Acid_Tank_Supply_Valve == true && CIP_23_Acid_Tank_Return_Valve == true && CIP_23_Return_Temperature > 120 || CIP_23_Acid_Tank_Supply_Valve == false && CIP_23_Acid_Tank_Return_Valve == false
Acid Circulation,CIP_23_Acid_Tank_Supply_Valve == true && CIP_23_Acid_Tank_Return_Valve == true && CIP_23_Return_Temperature > 120
Acid Circulation,CIP_23_Acid_Tank_Return_Valve == true && CIP_23_Rinse_Tank_Supply_Valve == true || CIP_23_Step != 3 && CIP_23_Step != 1
Acid Recovery,CIP_23_Acid_Tank_Return_Valve == true && CIP_23_Rinse_Tank_Supply_Valve == true
Acid Recovery,CIP_23_Acid_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_23_Caustic_Tank_Supply_Valve == true && CIP_23_Caustic_Tank_Return_Valve == 0 && CIP_23_Step == 7
Caustic Addition/Heat to Temp,CIP_23_Caustic_Tank_Supply_Valve == true && CIP_23_Caustic_Tank_Return_Valve == true && CIP_23_Return_Temperature > 140
Caustic Circulation,CIP_23_Caustic_Tank_Supply_Valve == true && CIP_23_Caustic_Tank_Return_Valve == true && CIP_23_Return_Temperature > 140
Caustic Circulation,CIP_23_Caustic_Tank_Supply_Valve == true && CIP_23_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_23_Caustic_Tank_Return_Valve == true && CIP_23_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_23_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_23_Rinse_Tank_Supply_Valve == true && CIP_23_Caustic_Tank_Return_Valve == false && CIP_23_Acid_Tank_Return_Valve == false && CIP_23_Sanitizer_Pump == 0 && CIP_23_Step < 7 || CIP_23_Step == 9 || CIP_23_Step == 13 || CIP_23_Step > 14
Fresh Water Rinse,CIP_23_Step >= 7 && CIP_23_Step <= 14 && CIP_23_Step != 9 && CIP_23_Step != 13
Sanitize Circulation,CIP_23_Sanitizer_Pump == true
Sanitize Circulation,CIP_23_Sanitizer_Pump != true
Sanitize Water,CIP_23_Sanitizer_Pump == true
Sanitize Water,CIP_23_Sanitizer_Pump != true
Acid Addition/Heat to Temp,CIP_22_Acid_Tank_Supply_Valve == true && CIP_22_Acid_Tank_Return_Valve == 0 && CIP_22_Step == 1
Acid Addition/Heat to Temp,CIP_22_Acid_Tank_Supply_Valve == true && CIP_22_Acid_Tank_Return_Valve == true && CIP_22_Return_Temperature > 120 || CIP_22_Acid_Tank_Supply_Valve == false && CIP_22_Acid_Tank_Return_Valve == false
Acid Circulation,CIP_22_Acid_Tank_Supply_Valve == true && CIP_22_Acid_Tank_Return_Valve == true && CIP_22_Return_Temperature > 120
Acid Circulation,CIP_22_Acid_Tank_Return_Valve == true && CIP_22_Rinse_Tank_Supply_Valve == true || CIP_22_Step != 3 && CIP_22_Step != 1
Acid Recovery,CIP_22_Acid_Tank_Return_Valve == true && CIP_22_Rinse_Tank_Supply_Valve == true
Acid Recovery,CIP_22_Acid_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_22_Caustic_Tank_Supply_Valve == true && CIP_22_Caustic_Tank_Return_Valve == 0 && CIP_22_Step == 7
Caustic Addition/Heat to Temp,CIP_22_Caustic_Tank_Supply_Valve == true && CIP_22_Caustic_Tank_Return_Valve == true && CIP_22_Return_Temperature > 140
Caustic Circulation,CIP_22_Caustic_Tank_Supply_Valve == true && CIP_22_Caustic_Tank_Return_Valve == true && CIP_22_Return_Temperature > 140
Caustic Circulation,CIP_22_Caustic_Tank_Return_Valve == true && CIP_22_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_22_Caustic_Tank_Return_Valve == true && CIP_22_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_22_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_22_Rinse_Tank_Supply_Valve == true && CIP_22_Acid_Tank_Return_Valve == false && CIP_22_Caustic_Tank_Return_Valve == false && CIP_22_Sanitizer_Pump == 0 && CIP_22_Step < 7 || CIP_22_Step == 9 || CIP_22_Step == 13 || CIP_22_Step > 14
Fresh Water Rinse,CIP_22_Step >= 7 && CIP_22_Step <= 14 && CIP_22_Step != 9 && CIP_22_Step != 13
Sanitize Circulation,CIP_22_Sanitizer_Pump == true
Sanitize Circulation,CIP_22_Sanitizer_Pump != true
Sanitize Water,CIP_22_Sanitizer_Pump == true
Sanitize Water,CIP_22_Sanitizer_Pump != true
Acid Addition/Heat to Temp,CIP_24_Acid_Tank_Supply_Valve == true && CIP_24_Acid_Tank_Return_Valve == false
Acid Addition/Heat to Temp,CIP_24_Acid_Tank_Supply_Valve == true && CIP_24_Acid_Tank_Return_Valve == true && CIP_24_Return_Temperature > 120 || CIP_24_Acid_Tank_Supply_Valve == false && CIP_24_Acid_Tank_Return_Valve == false
Acid Circulation,CIP_24_Acid_Tank_Supply_Valve == true && CIP_24_Acid_Tank_Return_Valve == true && CIP_24_Return_Temperature > 120
Acid Circulation,CIP_24_Acid_Tank_Return_Valve == true && CIP_24_Rinse_Tank_Supply_Valve == true || CIP_24_Step != 3 && CIP_24_Step != 1
Acid Recovery,CIP_24_Acid_Tank_Return_Valve == true && CIP_24_Rinse_Tank_Supply_Valve == true
Acid Recovery,CIP_24_Acid_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_24_Caustic_Tank_Supply_Valve == true && CIP_24_Caustic_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_24_Caustic_Tank_Supply_Valve == true && CIP_24_Caustic_Tank_Return_Valve == true && CIP_24_Return_Temperature > 140
Caustic Circulation,CIP_24_Caustic_Tank_Supply_Valve == true && CIP_24_Caustic_Tank_Return_Valve == true && CIP_24_Return_Temperature > 140
Caustic Circulation,CIP_24_Caustic_Tank_Return_Valve == true && CIP_24_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_24_Caustic_Tank_Return_Valve == true && CIP_24_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_24_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_24_Rinse_Tank_Supply_Valve == true && CIP_24_Acid_Tank_Return_Valve == false && CIP_24_Caustic_Tank_Return_Valve == false && CIP_24_Sanitizer_Pump == 0 && CIP_24_Step < 7 || CIP_24_Step == 9 || CIP_24_Step == 13 || CIP_24_Step > 14
Fresh Water Rinse,CIP_24_Step >= 7 && CIP_24_Step <= 14 && CIP_24_Step != 9 && CIP_24_Step != 13
Sanitize Circulation,CIP_24_Sanitizer_Pump == true
Sanitize Circulation,CIP_24_Sanitizer_Pump != true
Sanitize Water,CIP_24_Sanitizer_Pump == true
Sanitize Water,CIP_24_Sanitizer_Pump != true
Caustic Addition/Heat to Temp,CIP_25_Caustic_Tank_Supply_Valve == true && CIP_25_Caustic_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_25_Caustic_Tank_Supply_Valve == true && CIP_25_Caustic_Tank_Return_Valve == true && CIP_25_Return_Temperature > 140
Caustic Circulation,CIP_25_Caustic_Tank_Supply_Valve == true && CIP_25_Caustic_Tank_Return_Valve == true && CIP_25_Return_Temperature > 140
Caustic Circulation,CIP_25_Caustic_Tank_Return_Valve == true && CIP_25_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_25_Caustic_Tank_Return_Valve == true && CIP_25_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_25_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_25_Rinse_Tank_Supply_Valve == true && CIP_25_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_25_Rinse_Tank_Supply_Valve != true && CIP_25_Caustic_Tank_Return_Valve != false
Acid Addition/Heat to Temp,CIP_26_Acid_Tank_Supply_Valve == true && CIP_26_Acid_Tank_Return_Valve == 0 && CIP_26_Step == 1
Acid Addition/Heat to Temp,CIP_26_Acid_Tank_Supply_Valve == true && CIP_26_Acid_Tank_Return_Valve == true && CIP_26_Return_Temperature > 120
Acid Circulation,CIP_26_Acid_Tank_Supply_Valve == true && CIP_26_Acid_Tank_Return_Valve == true && CIP_26_Return_Temperature > 120
Acid Circulation,CIP_26_Acid_Tank_Return_Valve == true && CIP_26_Rinse_Tank_Supply_Valve == true || CIP_26_Step != 14
Acid Recovery,CIP_26_Acid_Tank_Return_Valve == true && CIP_26_Rinse_Tank_Supply_Valve == true && CIP_26_Caustic_Tank_Supply_Valve == false
Acid Recovery,CIP_26_Acid_Tank_Return_Valve == false
Caustic Addition/Heat to Temp,CIP_26_Caustic_Tank_Supply_Valve == true && CIP_26_Caustic_Tank_Return_Valve == 0 && CIP_26_Step == 10
Caustic Addition/Heat to Temp,CIP_26_Caustic_Tank_Supply_Valve == true && CIP_26_Caustic_Tank_Return_Valve == true && CIP_26_Return_Temperature > 140
Caustic Circulation,CIP_26_Caustic_Tank_Supply_Valve == true && CIP_26_Caustic_Tank_Return_Valve == true && CIP_26_Return_Temperature > 140
Caustic Circulation,CIP_26_Caustic_Tank_Return_Valve == true && CIP_26_Rinse_Tank_Supply_Valve == true
Caustic Recovery,CIP_26_Caustic_Tank_Return_Valve == true && CIP_26_Rinse_Tank_Supply_Valve == true && CIP_26_Acid_Tank_Return_Valve == false && CIP_26_Acid_Tank_Supply_Valve == false
Caustic Recovery,CIP_26_Caustic_Tank_Return_Valve == false
Fresh Water Rinse,CIP_26_Rinse_Tank_Supply_Valve == true && CIP_26_Acid_Tank_Return_Valve == false && CIP_26_Caustic_Tank_Return_Valve == false && CIP_26_Sanitizer_Pump == 0 && CIP_26_Step < 7 || CIP_26_Step == 9 || CIP_26_Step == 13 || CIP_26_Step > 14
Fresh Water Rinse,CIP_26_Step >= 7 && CIP_26_Step <= 14 && CIP_26_Step != 9 && CIP_26_Step != 13
Sanitize Circulation,CIP_26_Sanitizer_Pump == true
Sanitize Circulation,CIP_26_Sanitizer_Pump != true
Sanitize Water,CIP_26_Sanitizer_Pump == true
Sanitize Water,CIP_26_Sanitizer_Pump != true
Drain,CIP_27_Step_No == 12
Drain,CIP_27_Step_No != 12
Dryer Stack Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 4
Dryer Stack Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 4
Dryer Stack Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 4
Dryer Stack Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 4
Dryer Stack Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 4 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Dryer Stack Rinse,CIP_27_Object_ID != 4 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Drying Chamber Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 8 || CIP_27_Object_ID == 16384
Drying Chamber Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 8 && CIP_27_Object_ID != 16384
Drying Chamber Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 8 || CIP_27_Object_ID == 16384
Drying Chamber Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 8 && CIP_27_Object_ID != 16384
Drying Chamber Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == 0 && CIP_27_Object_ID == 8 || CIP_27_Object_ID == 16384 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Drying Chamber Rinse,CIP_27_Object_ID != 8 && CIP_27_Object_ID != 16384 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Entire System Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 16
Entire System Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 16
Entire System Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 16
Entire System Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 16
Entire System Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 16 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Entire System Rinse,CIP_27_Object_ID != 16 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Production Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 2
Production Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 2
Production Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 2
Production Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 2
Production Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 2 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Production Rinse,CIP_27_Object_ID != 2 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 1 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Return_Temp >= 145 && CIP_27_Step_No == 10 && CIP_27_Object_ID == 32
Section 1 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 32
Section 1 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Return_Temp >= 145 && CIP_27_Step_No == 7 && CIP_27_Object_ID == 32
Section 1 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 32
Section 1 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Caustic_Supply_Valve == false && CIP_27_Acid_Supply_Valve == false && CIP_27_Object_ID == 32 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 1 Rinse,CIP_27_Step_No != 2 && CIP_27_Step_No != 8 || CIP_27_Object_ID != 32
Section 2 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 64
Section 2 Acid Circulation,CIP_27_Object_ID != 64 || CIP_27_Step_No != 10
Section 2 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 64
Section 2 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 64
Section 2 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 64 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 2 Rinse,CIP_27_Object_ID != 64 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 3 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 128
Section 3 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Step_No != 128
Section 3 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 128
Section 3 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 128
Section 3 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 128 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 3 Rinse,CIP_27_Object_ID != 128 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 4 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 256
Section 4 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 256
Section 4 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 256
Section 4 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 256
Section 4 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 256 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 4 Rinse,CIP_27_Object_ID != 256 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 5 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 512
Section 5 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 512
Section 5 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 512
Section 5 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 512
Section 5 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 512 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 5 Rinse,CIP_27_Object_ID != 512 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 6 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Object_ID == 1024 && CIP_27_Step_No == 10
Section 6 Acid Circulation,CIP_27_Step_No != 10 || CIP_27_Object_ID != 1024
Section 6 Caustic Circulation,CIP_27_Caustic_Supply_Valve == true && CIP_27_Step_No == 7 && CIP_27_Object_ID == 1024
Section 6 Caustic Circulation,CIP_27_Step_No != 7 || CIP_27_Object_ID != 1024
Section 6 Rinse,CIP_27_Fresh_Water_Supply_Valve == true && CIP_27_Acid_Supply_Valve == false && CIP_27_Caustic_Supply_Valve == false && CIP_27_Object_ID == 1024 && CIP_27_Step_No == 2 || CIP_27_Step_No == 8
Section 6 Rinse,CIP_27_Object_ID != 1024 || CIP_27_Step_No != 2 && CIP_27_Step_No != 8
Section 7 Acid Circulation,CIP_27_Acid_Supply_Valve == true && CIP_27_Step_No == 10 && CIP_27_Object_ID == 2048
